 BEGINING,TEST,HERE
"(582, 406)","(681, 407)","(771.6912955465588, 575)"
"(585, 405)","(682, 406)","(747.6967105263159, 506)"
"(583, 405)","(683, 406)","(797.0802631578948, 540)"
"(582, 406)","(681, 407)","(752.1326923076924, 521)"
"(583, 406)","(680, 407)","(761.0384615384617, 566)"
"(583, 405)","(683, 407)","(785.975, 507)"
"(584, 406)","(683, 407)","(776.9190118824265, 566)"
"(583, 406)","(684, 406)","(830.2184210526315, 513)"
"(583, 406)","(682, 407)","(789.1312415654522, 542)"
"(583, 405)","(682, 408)","(752.9182692307692, 518)"
"(584, 407)","(683, 407)","(795.9358974358975, 533)"
"(583, 407)","(683, 407)","(801.8, 546)"
"(584, 406)","(683, 407)","(802.4333333333333, 508)"
"(584, 406)","(683, 407)","(802.4333333333333, 521)"
"(584, 407)","(682, 407)","(766.1615853658537, 508)"
"(585, 406)","(685, 407)","(795.040650406504, 521)"
"(585, 406)","(685, 408)","(768.969512195122, 521)"
"(585, 406)","(686, 407)","(805.3740384615385, 495)"
Accuarcy Avg,24.458428036958235,N/A
Accuarcy,"[25.55178039647782, 25.41129908014506, 22.0423327489137, 28.049221998731294, 25.656867098813173, 24.351670618100897, 26.112097283057665, 28.098128869376804, 23.009857262913915, 27.193315270293382, 20.50691505673385, 24.956769753803524, 25.900611125355876, 23.964197715241017, 24.475418289113726, 21.94947977289965, 22.780690089528928, 24.448961202601, 23.2540312257819, 24.97320576272054, 20.9401381555192]",N/A
Precision,0.023100798262470114,N/A
=====,=====,=====
"(586, 406)","(684, 406)","(798.7631578947369, 520)"
"(585, 406)","(685, 406)","(808.9608636977058, 520)"
"(587, 406)","(686, 407)","(822.553846153846, 542)"
"(587, 406)","(687, 406)","(802.8530487804877, 530)"
"(586, 406)","(687, 407)","(838.874358974359, 542)"
"(587, 406)","(686, 406)","(834.1499999999999, 520)"
"(586, 405)","(685, 405)","(816.1157894736842, 519)"
"(587, 405)","(685, 405)","(795.4971857410882, 501)"
"(587, 405)","(686, 405)","(812.4430894308942, 519)"
"(587, 405)","(685, 405)","(779.984990619137, 519)"
"(588, 405)","(688, 405)","(830.71669793621, 519)"
"(587, 405)","(685, 406)","(763.6772983114447, 540)"
"(587, 405)","(686, 405)","(812.4430894308942, 506)"
"(586, 405)","(686, 406)","(796.2926829268292, 530)"
"(587, 405)","(685, 406)","(801.2048780487805, 540)"
"(587, 405)","(687, 405)","(823.1999999999999, 519)"
"(588, 404)","(687, 405)","(824.9037227214377, 497)"
"(586, 405)","(684, 405)","(766.1776315789473, 519)"
"(587, 405)","(687, 405)","(829.4146341463414, 498)"
"(584, 405)","(683, 405)","(790.3788798920378, 493)"
"(585, 404)","(686, 405)","(823.5394736842104, 506)"
"(585, 404)","(686, 405)","(816.9519736842105, 484)"
Accuarcy Avg,42.8078725214647,N/A
Accuarcy,"[43.39319122622004, 42.843064906348985, 42.54594464685446, 43.35869218927501, 41.656563345783034, 41.44684919969048, 42.43297314742023, 43.249869247935436, 42.634559083132864, 44.366944820226784, 41.620325410224766, 45.54944891183542, 42.400658307621285, 43.705900098526925, 43.63890159521876, 42.040928502231324, 41.54153483495341, 45.07733262154889, 41.29973997940021, 43.405916484162326, 41.77829577811529, 41.785561135497744]",N/A
Precision,0.03934736246429938,N/A
=====,=====,=====
"(586, 405)","(685, 404)","(842.9615384615383, 487)"
"(587, 405)","(687, 405)","(867.4934210526317, 543)"
"(589, 404)","(688, 405)","(857.0634615384616, 518)"
"(587, 404)","(687, 404)","(855.4583333333334, 505)"
"(589, 404)","(687, 405)","(878.1976235146967, 518)"
"(588, 405)","(688, 405)","(862.6366479049406, 543)"
"(588, 404)","(688, 405)","(862.6366479049406, 518)"
"(588, 405)","(686, 405)","(833.9671052631578, 529)"
"(588, 405)","(687, 405)","(867.3355263157896, 564)"
"(587, 404)","(687, 405)","(861.2845528455284, 484)"
"(587, 404)","(685, 405)","(821.4999999999999, 539)"
"(586, 404)","(686, 405)","(854.1153846153846, 539)"
"(587, 405)","(686, 405)","(844.2879924953095, 519)"
"(587, 404)","(687, 405)","(855.4583333333334, 484)"
"(587, 405)","(689, 405)","(869.3626373626374, 519)"
"(587, 404)","(686, 405)","(850.0625, 518)"
"(587, 404)","(686, 405)","(855.8841463414633, 539)"
"(586, 405)","(686, 404)","(849.3947368421052, 530)"
"(586, 404)","(686, 404)","(859.9324577861163, 505)"
"(586, 404)","(686, 405)","(849.3947368421052, 539)"
"(587, 404)","(686, 404)","(827.45, 453)"
"(587, 404)","(686, 404)","(844.2879924953095, 505)"
Accuarcy Avg,54.91380135666015,N/A
Accuarcy,"[55.05414565559977, 54.60774652983907, 54.769474097043144, 54.73311627475293, 54.0216302367301, 54.77590722332225, 54.57480955146681, 55.63559643180799, 54.8043912496934, 54.39273881560346, 56.11826121477716, 55.03469442795502, 55.21610801145799, 54.59975726322221, 54.34515980154884, 55.01147072938824, 54.974272815504946, 55.12405906502536, 54.5761480250939, 55.19510370348507, 55.419123899717206, 55.119914823488344]",N/A
Precision,0.10131425372997789,N/A
=====,=====,=====
"(582, 405)","(681, 405)","(695.8742964352722, 540)"
"(583, 406)","(682, 405)","(728.6210131332083, 552)"
"(582, 405)","(680, 405)","(710.7135709818638, 540)"
"(583, 405)","(682, 405)","(737.1057692307693, 540)"
"(583, 405)","(681, 405)","(695.6347717323328, 515)"
"(584, 405)","(681, 405)","(704.6698717948718, 578)"
"(583, 405)","(681, 405)","(695.6347717323328, 515)"
"(583, 405)","(681, 405)","(711.0494058786742, 564)"
"(582, 405)","(681, 405)","(687.7682692307693, 515)"
"(581, 405)","(680, 405)","(710.1504065040651, 589)"
"(582, 405)","(680, 405)","(696.5907894736841, 540)"
"(583, 405)","(682, 405)","(714.891447368421, 527)"
"(582, 405)","(680, 406)","(694.5340838023765, 528)"
"(582, 405)","(681, 405)","(711.2767354596624, 515)"
"(584, 405)","(680, 405)","(719.9128205128205, 493)"
"(582, 405)","(681, 405)","(711.2767354596624, 564)"
"(582, 405)","(681, 405)","(695.8742964352722, 527)"
"(583, 404)","(681, 405)","(695.6347717323328, 527)"
"(583, 405)","(681, 405)","(695.6347717323328, 527)"
"(583, 405)","(681, 406)","(727.2545340838025, 528)"
"(582, 405)","(681, 405)","(713.7611842105264, 564)"
"(580, 405)","(681, 405)","(703.25, 515)"
Accuarcy Avg,35.85811267462807,N/A
Accuarcy,"[35.01972375643189, 37.310913225611344, 36.06902150702997, 37.86814137723929, 35.06207443854253, 35.77683564226292, 35.06207443854253, 36.14373652936728, 34.49651266860473, 36.243230272142604, 35.07101979878368, 36.37432286916698, 34.93739872519932, 36.16388925575454, 36.89429026966416, 36.15953828872676, 35.035820694952356, 35.018674998040936, 35.018674998040936, 37.21850757258836, 36.33182069395967, 35.60225682116453]",N/A
Precision,0.051002958969354466,N/A
=====,=====,=====
"(581, 405)","(682, 404)","(743.6613508442776, 530)"
"(583, 405)","(681, 405)","(745.9263157894737, 589)"
"(583, 405)","(682, 405)","(737.1057692307693, 564)"
"(583, 404)","(680, 405)","(712.9302631578947, 527)"
"(582, 405)","(680, 405)","(719.1782051282051, 564)"
"(583, 405)","(682, 404)","(737.1057692307693, 530)"
"(583, 402)","(681, 403)","(745.9263157894737, 524)"
"(582, 404)","(683, 404)","(744.8389618511569, 563)"
"(584, 403)","(683, 403)","(754.1086538461539, 516)"
"(584, 404)","(683, 403)","(755.4833119383826, 528)"
"(584, 403)","(682, 404)","(728.4052532833022, 538)"
"(583, 404)","(682, 403)","(728.6210131332083, 504)"
"(583, 403)","(681, 403)","(720.3179487179486, 561)"
"(584, 403)","(681, 403)","(714.0592105263158, 525)"
"(585, 403)","(682, 403)","(715.1881578947368, 503)"
"(585, 403)","(683, 403)","(708.4372469635626, 517)"
"(584, 403)","(684, 404)","(740.6161745827984, 548)"
"(584, 403)","(684, 404)","(730.3489681050658, 538)"
"(584, 403)","(684, 403)","(716.5868421052631, 537)"
"(585, 403)","(683, 403)","(748.2868421052632, 561)"
"(585, 402)","(685, 403)","(763.270794246404, 536)"
Accuarcy Avg,10.17187740430921,N/A
Accuarcy,"[10.987116836211, 12.274931425951445, 10.56295280303252, 7.862968733692105, 8.76816496581181, 10.314155669240954, 11.29408261427871, 11.31507050519278, 12.264178247406576, 12.213156536024822, 9.36107209172981, 10.110831310784752, 8.797610596401446, 8.0183656500071, 8.879063749857174, 7.665708519304863, 10.656451773681438, 9.563024832632625, 8.131717620315499, 11.619978687119199, 12.948822321816788]",N/A
Precision,0.029865225577094378,N/A
=====,=====,=====
"(586, 404)","(684, 405)","(759.2577597840756, 543)"
"(587, 404)","(686, 404)","(806.8597560975611, 572)"
"(587, 404)","(687, 404)","(758.6833333333335, 542)"
"(585, 403)","(685, 404)","(773.9826700898589, 538)"
"(586, 403)","(684, 404)","(756.0494223363286, 538)"
"(587, 403)","(686, 404)","(790.1097560975609, 538)"
"(588, 404)","(686, 404)","(784.5157894736841, 572)"
"(586, 403)","(686, 404)","(757.4923076923078, 525)"
"(587, 404)","(685, 404)","(757.2400513478818, 505)"
"(586, 403)","(686, 403)","(790.7137355584083, 503)"
"(585, 403)","(685, 404)","(750.3026315789474, 525)"
"(586, 403)","(686, 404)","(779.984990619137, 525)"
"(585, 404)","(686, 404)","(780.1666666666666, 542)"
"(586, 404)","(686, 405)","(764.4727954971858, 597)"
"(587, 404)","(685, 405)","(766.5473684210526, 588)"
"(587, 404)","(687, 405)","(774.6083333333335, 539)"
"(587, 403)","(686, 404)","(758.0878205128206, 505)"
"(586, 404)","(686, 403)","(790.7137355584083, 495)"
"(584, 403)","(685, 403)","(778.9390243902438, 452)"
"(585, 404)","(685, 404)","(763.270794246404, 517)"
"(587, 404)","(686, 405)","(806.2333333333333, 539)"
"(587, 404)","(685, 405)","(783.2842105263156, 588)"
Accuarcy Avg,19.379632220320374,N/A
Accuarcy,"[20.519564261622044, 16.25967815547638, 20.572194312857903, 19.126616481128654, 20.81838211663823, 17.574998827039273, 18.394017641288315, 20.734540876075112, 20.98600559570126, 17.902563498622325, 21.401480743736364, 18.61118896146883, 18.53494283464183, 20.790915901790854, 20.38396864134303, 19.066172052913146, 20.908182014562787, 18.084464574910438, 20.57095647135254, 20.266607148813367, 15.995709913416151, 18.84875782164948]",N/A
Precision,0.029605765567872873,N/A
=====,=====,=====
"(586, 404)","(688, 404)","(823.6083333333332, 505)"
"(586, 404)","(684, 404)","(794.2464040025015, 492)"
"(586, 404)","(687, 404)","(838.874358974359, 517)"
"(586, 404)","(684, 404)","(788.0512820512821, 550)"
"(585, 404)","(686, 404)","(823.5394736842104, 505)"
"(584, 404)","(684, 404)","(787.2166666666667, 505)"
"(585, 404)","(685, 404)","(826.8105065666041, 484)"
"(585, 404)","(685, 404)","(815.4736842105264, 492)"
"(584, 405)","(685, 404)","(810.6838649155721, 530)"
"(585, 404)","(685, 403)","(820.6153846153845, 486)"
"(585, 405)","(685, 404)","(820.6153846153845, 530)"
"(585, 404)","(684, 404)","(809.890243902439, 529)"
"(586, 404)","(686, 404)","(828.1125703564727, 517)"
"(586, 404)","(685, 405)","(804.9666666666666, 539)"
"(585, 403)","(685, 404)","(821.6688061617458, 525)"
"(585, 404)","(685, 403)","(795.040650406504, 486)"
"(585, 404)","(686, 404)","(811.9615384615383, 563)"
"(585, 404)","(686, 404)","(800.2282894736843, 529)"
"(586, 404)","(684, 404)","(820.2083333333333, 526)"
"(585, 404)","(684, 404)","(787.4307692307692, 505)"
"(585, 403)","(686, 403)","(780.1666666666666, 491)"
"(585, 403)","(683, 404)","(780.8210526315788, 504)"
Accuarcy Avg,41.36198953236164,N/A
Accuarcy,"[40.474882102143695, 42.301340213959335, 39.470842313468324, 42.53018927424056, 40.47912541707731, 42.64450304005123, 40.40710732964271, 41.04284519796258, 41.18973743027562, 40.77121761643543, 40.58359163930831, 41.23904536128279, 40.14823552542568, 41.52742993002962, 40.52705866752745, 42.29182155652441, 41.140134310802424, 41.817268618857106, 40.6150774462263, 42.632158094498216, 43.11507780211916, 43.01508082409795]",N/A
Precision,0.045103174501931485,N/A
=====,=====,=====
"(587, 404)","(686, 405)","(844.2879924953095, 539)"
"(586, 404)","(685, 403)","(837.1490384615385, 489)"
"(586, 403)","(687, 404)","(850.9, 504)"
"(586, 404)","(686, 403)","(828.1125703564727, 528)"
"(587, 403)","(685, 403)","(842.7000000000002, 503)"
"(586, 404)","(685, 404)","(842.9615384615383, 538)"
"(586, 404)","(687, 404)","(865.0966463414634, 505)"
"(586, 404)","(686, 405)","(876.2401500938087, 539)"
"(584, 404)","(684, 404)","(825.5084427767354, 505)"
"(587, 404)","(684, 403)","(814.7435897435898, 486)"
"(587, 402)","(686, 404)","(844.2879924953095, 503)"
"(586, 403)","(685, 404)","(832.0032894736842, 538)"
"(587, 404)","(685, 404)","(832.6578947368421, 563)"
"(587, 404)","(687, 404)","(866.6552631578949, 563)"
"(586, 403)","(687, 404)","(866.8125, 517)"
"(585, 404)","(687, 404)","(854.523076923077, 529)"
"(587, 404)","(687, 404)","(849.851219512195, 453)"
"(587, 404)","(688, 404)","(878.3067542213885, 529)"
"(586, 404)","(686, 404)","(849.3947368421052, 505)"
"(586, 404)","(688, 405)","(871.7916666666666, 539)"
"(586, 404)","(685, 405)","(837.1490384615385, 539)"
"(586, 404)","(686, 404)","(864.4170731707317, 505)"
Accuarcy Avg,54.48373547711223,N/A
Accuarcy,"[54.632556665316095, 54.94649853267158, 54.42581131406814, 55.206483694518134, 54.72149160098411, 54.68004002850937, 53.904938879415404, 53.4562164480639, 55.3209697938872, 55.72582278958941, 54.66490134331745, 55.06753111777963, 55.05658050975605, 53.82951036628881, 53.823662331041426, 54.265896702055606, 54.613375788300566, 53.38096921632288, 54.478388522235434, 53.62401462145059, 54.886432074514836, 53.93008815638239]",N/A
Precision,0.07293309889648245,N/A
=====,=====,=====
"(582, 405)","(678, 405)","(678.0789473684212, 564)"
"(582, 404)","(681, 404)","(719.7480769230768, 492)"
"(581, 405)","(681, 405)","(687.6282051282052, 564)"
"(582, 405)","(679, 404)","(677.8170731707316, 530)"
"(581, 404)","(679, 404)","(663.1578947368422, 492)"
"(580, 404)","(681, 405)","(670.0984756097561, 500)"
"(582, 405)","(680, 404)","(678.3250000000002, 530)"
"(582, 404)","(682, 404)","(718.3219512195122, 492)"
"(582, 405)","(681, 404)","(703.9605769230769, 581)"
"(584, 404)","(682, 405)","(728.4052532833022, 551)"
"(583, 405)","(681, 405)","(679.4296435272045, 515)"
"(583, 404)","(682, 406)","(698.2467105263157, 552)"
"(584, 405)","(681, 406)","(704.6698717948718, 528)"
"(583, 405)","(682, 405)","(696.1851156973108, 541)"
"(583, 405)","(684, 406)","(706.5961538461538, 578)"
"(583, 405)","(682, 406)","(673.0448717948718, 578)"
"(585, 405)","(684, 405)","(714.6557223264541, 552)"
"(585, 404)","(684, 405)","(698.3864915572233, 500)"
"(583, 405)","(683, 406)","(705.6326923076923, 578)"
"(584, 404)","(683, 406)","(713.5293933708568, 552)"
"(583, 405)","(682, 405)","(649.9769736842105, 541)"
"(584, 405)","(683, 405)","(713.5293933708568, 541)"
Accuarcy Avg,35.39427858915366,N/A
