BEGINING,TEST,HERE
"(588, 407)","(688, 407)","(813.881081081081, 604)"
"(588, 407)","(688, 407)","(835.2763157894736, 601)"
"(589, 407)","(689, 408)","(852.6059743954481, 659)"
"(588, 407)","(688, 407)","(824.4923076923076, 567)"
"(587, 406)","(687, 407)","(844.951219512195, 566)"
"(588, 406)","(689, 406)","(846.5941295546559, 532)"
"(587, 406)","(689, 406)","(864.3175675675676, 507)"
"(588, 407)","(688, 407)","(841.1116816431322, 621)"
Accuarcy Avg,64.58788082504775,N/A
Accuarcy,"[63.94511447168758, 64.27432718367606, 64.36691768929703, 63.83874484252697, 64.03636603166045, 64.1235448360736, 64.5826103627031, 64.04760888654299, 64.57652403197865, 65.2711007989055, 64.03559369220389, 64.87648315096496, 64.35905456828313, 64.21604556963908, 65.87889056358289, 65.31330204803955, 65.39935405824252, 65.33656933096982, 64.78345457201738, 64.50245335910986, 63.836606151228075, 65.33271195171739]",N/A
Precision,0.07756218065399645,N/A
=====,=====,=====
"(582, 407)","(681, 406)","(670.8241758241758, 566)"
"(581, 407)","(680, 406)","(695.2092105263158, 620)"
"(581, 407)","(681, 406)","(680.8157894736843, 620)"
"(580, 409)","(678, 408)","(653.2233632862643, 631)"
"(582, 407)","(680, 407)","(663.3802631578948, 569)"
"(582, 409)","(681, 408)","(679.6819887429643, 594)"
"(582, 409)","(680, 408)","(663.3802631578948, 623)"
"(581, 409)","(681, 408)","(679.1438398999375, 594)"
"(582, 408)","(681, 406)","(697.1427631578947, 584)"
"(581, 408)","(681, 407)","(671.905648267009, 622)"
"(581, 408)","(679, 408)","(662.328947368421, 593)"
"(582, 407)","(679, 407)","(687.5858108108108, 555)"
"(582, 407)","(679, 407)","(670.1591784338896, 651)"
"(581, 407)","(681, 406)","(710.7135709818638, 591)"
"(582, 407)","(681, 407)","(680.5243421052633, 658)"
"(583, 407)","(682, 408)","(696.1851156973108, 692)"
"(582, 407)","(681, 407)","(664.7368421052632, 580)"
"(582, 407)","(682, 406)","(678.6476190476192, 609)"
"(583, 406)","(682, 407)","(680.7582864290181, 609)"
"(583, 407)","(682, 406)","(699.0789473684209, 609)"
"(583, 407)","(681, 407)","(672.1076923076923, 651)"
"(582, 407)","(680, 406)","(664.6708246708247, 583)"
